esn,flight_phase,aircraft_type,eng_family,eng_type,eng_install_date,cycles,delta_egt,fuel_flw,oil_temp,egt_divergence_,ps3_divergence,oil_pres,oil_pres_divergence,core_spd,core_spd_divergence,pt2_(fan_inlet_tot_pres),egt_probe_average,computed_air_spd,zps3,eng_number,flight_datetime_c,date,time,flight_cycle,RCL,is_engine_active,expected_max_cycle,egt_probe_average_norm,fuel_flw_norm,core_spd_norm,oil_temp_norm,oil_pres_norm,pt2_(fan_inlet_tot_pres)_norm,engtype_LEAP-1A26,engtype_LEAP-1A26E1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5556.0,,7376.0,78.2,6.25,-5.675,100.2,-0.95,104.64,-0.205,14.96,873.725,92.0,491.11,ESN6,2026-04-16 13:57:58,2026-04-16,13:57:58,4933,67.0,1,5000.0,2.5774999999999864,5688.96,-1.3435999999999808,-11.170000000000002,5.001999999999995,0.2332,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5557.0,,7216.0,96.8,7.5,-3.07,98.5,0.95,106.0,-0.09,14.54,892.7,90.0,462.2,ESN6,2026-04-17 08:44:00,2026-04-17,08:44:00,4934,66.0,1,5000.0,21.55250000000001,5528.96,0.0164000000000186,7.429999999999993,3.3019999999999925,-0.1868000000000016,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5558.0,,7644.0,85.7,5.65,-1.82,103.0,0.0,105.19,-0.095,14.86,873.725,91.0,488.9,ESN6,2026-04-17 14:38:15,2026-04-17,14:38:15,4935,65.0,1,5000.0,2.5774999999999864,5956.96,-0.7935999999999837,-3.6700000000000017,7.801999999999992,0.1331999999999986,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5559.0,,6938.0,93.4,5.4,-2.51,96.7,0.55,104.94,-0.15,14.62,870.9875,88.0,455.82,ESN6,2026-04-18 07:02:33,2026-04-18,07:02:33,4936,64.0,1,5000.0,-0.1600000000000818,5250.96,-1.0435999999999837,4.030000000000001,1.5019999999999951,-0.1068000000000015,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5560.0,,6905.0,77.3,5.85,-7.79,99.6,-1.15,103.55,-0.21,15.09,845.025,90.0,472.25,ESN6,2026-04-18 14:24:55,2026-04-18,14:24:55,4937,63.0,1,5000.0,-26.12250000000006,5217.96,-2.433599999999984,-12.070000000000007,4.401999999999987,0.3631999999999991,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5561.0,,7613.0,81.5,6.65,-4.435,105.6,-0.6,106.19,-0.135,14.83,905.15,97.0,496.66,ESN6,2026-04-19 06:40:26,2026-04-19,06:40:26,4938,62.0,1,5000.0,34.00249999999994,5925.96,0.2064000000000163,-7.870000000000003,10.401999999999989,0.1031999999999992,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5562.0,,6304.0,82.4,4.95,-2.32,97.3,0.45,102.24,-0.1,14.92,801.9625,93.0,440.3,ESN6,2026-04-19 13:45:19,2026-04-19,13:45:19,4939,61.0,1,5000.0,-69.18500000000006,4616.96,-3.7435999999999865,-6.969999999999999,2.1019999999999897,0.1931999999999991,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5563.0,,5909.0,61.9,5.25,-3.575,121.9,1.4,102.36,-0.175,14.73,809.7125,90.0,409.65,ESN6,2026-04-20 06:00:35,2026-04-20,06:00:35,4940,60.0,1,5000.0,-61.43500000000006,4221.96,-3.623599999999982,-27.47000000000001,26.702,0.0031999999999996,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5564.0,,7934.0,92.6,6.8,-1.83,103.2,0.0,107.43,-0.12,14.63,923.6375,94.0,496.84,ESN6,2026-04-20 07:59:47,2026-04-20,07:59:47,4941,59.0,1,5000.0,52.49000000000001,6246.96,1.4464000000000254,3.2299999999999898,8.001999999999995,-0.0968,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5565.0,,5894.0,85.3,5.3,-3.675,94.5,0.15,101.58,-0.115,14.98,790.3,89.0,416.36,ESN6,2026-04-20 16:14:15,2026-04-20,16:14:15,4942,58.0,1,5000.0,-80.84750000000008,4206.96,-4.403599999999983,-4.070000000000007,-0.6980000000000075,0.2531999999999996,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5567.0,,6627.0,82.8,6.15,-3.6,103.6,0.0,104.21,-0.165,14.76,855.325,90.0,446.16,ESN6,2026-04-21 08:39:36,2026-04-21,08:39:36,4943,57.0,1,5000.0,-15.822499999999993,4939.96,-1.7735999999999876,-6.570000000000007,8.401999999999987,0.033199999999999,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5568.0,,5946.0,81.9,4.9,-2.275,98.4,0.45,101.81,-0.125,14.87,790.1875,88.0,418.43,ESN6,2026-04-21 14:06:00,2026-04-21,14:06:00,4944,56.0,1,5000.0,-80.96000000000004,4258.96,-4.173599999999979,-7.469999999999999,3.201999999999998,0.1431999999999984,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5569.0,,7095.0,88.1,6.0,-2.075,97.9,2.45,105.29,-0.185,14.71,881.4625,93.0,464.11,ESN6,2026-04-22 08:55:59,2026-04-22,08:55:59,4945,55.0,1,5000.0,10.31499999999994,5407.96,-0.6935999999999751,-1.2700000000000102,2.701999999999998,-0.0167999999999999,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5570.0,,7794.0,91.3,7.85,-2.56,100.0,0.7,109.05,-0.12,14.41,961.6875,93.0,487.89,ESN6,2026-04-22 15:41:55,2026-04-22,15:41:55,4946,54.0,1,5000.0,90.53999999999996,6106.96,3.066400000000016,1.9299999999999928,4.8019999999999925,-0.3168000000000006,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5572.0,,6522.0,85.8,5.15,-2.99,95.1,0.5,102.42,-0.14,15.08,809.7125,88.0,451.02,ESN6,2026-04-23 09:05:00,2026-04-23,09:05:00,4947,53.0,1,5000.0,-61.43500000000006,4834.96,-3.56359999999998,-3.5700000000000074,-0.0980000000000131,0.3531999999999993,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5573.0,,6659.0,83.0,5.85,-6.28,101.8,-1.35,104.78,-0.235,15.05,870.35,91.0,450.01,ESN6,2026-04-23 19:53:20,2026-04-23,19:53:20,4948,52.0,1,5000.0,-0.7975000000000136,4971.96,-1.2035999999999802,-6.3700000000000045,6.60199999999999,0.3231999999999999,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5575.0,,6206.0,97.3,5.65,-3.02,93.4,0.0,104.44,-0.14,14.53,851.475,87.0,415.05,ESN6,2026-04-24 09:56:58,2026-04-24,09:56:58,4949,51.0,1,5000.0,-19.672500000000014,4518.96,-1.5435999999999837,7.929999999999993,-1.7980000000000018,-0.1968000000000014,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5576.0,,6640.0,80.5,6.5,-3.765,100.7,-2.45,104.49,-0.185,14.92,863.2,93.0,450.46,ESN6,2026-04-24 14:35:28,2026-04-24,14:35:28,4950,50.0,1,5000.0,-7.947499999999991,4952.96,-1.4935999999999865,-8.870000000000005,5.501999999999995,0.1931999999999991,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5577.0,,6248.0,75.5,5.7,-2.64,111.9,-5.2,104.51,-0.135,14.64,855.025,91.0,422.13,ESN6,2026-04-25 08:05:57,2026-04-25,08:05:57,4951,49.0,1,5000.0,-16.12250000000006,4560.96,-1.4735999999999765,-13.870000000000005,16.701999999999998,-0.0868000000000002,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5578.0,,7123.0,87.1,9.3,-3.4,97.6,0.5,106.19,-0.185,14.45,904.3375,92.0,466.67,ESN6,2026-04-25 13:36:20,2026-04-25,13:36:20,4952,48.0,1,5000.0,33.18999999999994,5435.96,0.2064000000000163,-2.2700000000000102,2.401999999999987,-0.2768000000000015,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5579.0,,7728.0,87.1,6.95,-6.04,99.8,-0.55,107.05,-0.205,14.77,926.6875,92.0,495.33,ESN6,2026-04-25 19:40:35,2026-04-25,19:40:35,4953,47.0,1,5000.0,55.53999999999997,6040.96,1.0664000000000158,-2.2700000000000102,4.60199999999999,0.0431999999999987,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5580.0,,6210.0,85.9,9.35,-2.525,98.6,0.65,105.87,-0.12,12.72,894.875,87.0,407.65,ESN6,2026-04-26 01:49:21,2026-04-26,01:49:21,4954,46.0,1,5000.0,23.727499999999964,4522.96,-0.1135999999999768,-3.469999999999999,3.401999999999987,-2.0068,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5581.0,,7509.0,87.3,8.85,-3.635,101.1,1.65,107.56,-0.165,13.27,939.85,92.0,472.53,ESN6,2026-04-26 03:28:31,2026-04-26,03:28:31,4955,45.0,1,5000.0,68.70249999999999,5821.96,1.576400000000021,-2.0700000000000074,5.901999999999987,-1.4568000000000012,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5583.0,,6827.0,81.4,7.1,-3.165,97.6,0.0,104.21,-0.2,15.14,857.8875,90.0,462.32,ESN6,2026-04-26 20:34:56,2026-04-26,20:34:56,4956,44.0,1,5000.0,-13.259999999999993,5139.96,-1.7735999999999876,-7.969999999999999,2.401999999999987,0.4131999999999998,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5584.0,,6759.0,87.0,6.05,-3.015,100.7,1.45,104.54,-0.13,14.72,862.0375,92.0,449.63,ESN6,2026-04-27 08:53:06,2026-04-27,08:53:06,4957,43.0,1,5000.0,-9.110000000000014,5071.96,-1.4435999999999751,-2.3700000000000045,5.501999999999995,-0.0068000000000001,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5585.0,,5997.0,82.6,5.7,-2.51,98.8,1.5,102.32,-0.135,14.86,803.375,94.0,417.6,ESN6,2026-04-27 14:27:44,2026-04-27,14:27:44,4958,42.0,1,5000.0,-67.77250000000004,4309.96,-3.663599999999988,-6.77000000000001,3.6019999999999897,0.1331999999999986,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5586.0,,7629.0,86.3,8.2,-4.365,97.4,0.0,106.15,-0.135,14.96,904.3375,87.0,496.69,ESN6,2026-04-27 19:40:36,2026-04-27,19:40:36,4959,41.0,1,5000.0,33.18999999999994,5941.96,0.1664000000000243,-3.0700000000000074,2.201999999999998,0.2332,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5587.0,,5751.0,84.8,7.5,-2.525,97.5,1.65,104.59,-0.165,12.77,865.95,91.0,386.91,ESN6,2026-04-28 01:39:47,2026-04-28,01:39:47,4960,40.0,1,5000.0,-5.197499999999991,4063.96,-1.393599999999978,-4.570000000000007,2.3019999999999925,-1.9568000000000008,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5591.0,,6719.0,74.9,9.35,-3.945,107.7,-0.75,104.67,-0.21,15.0,866.8375,89.0,453.54,ESN6,2026-04-29 02:33:16,2026-04-29,02:33:16,4961,39.0,1,5000.0,-4.310000000000059,5031.96,-1.3135999999999797,-14.47,12.501999999999995,0.2731999999999992,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5599.0,,6512.0,97.7,,,97.2,,105.74,,14.56,882.275,90.0,430.87,ESN6,2026-05-02 08:54:31,2026-05-02,08:54:31,4962,38.0,1,5000.0,11.12749999999994,4824.96,-0.2435999999999865,8.329999999999998,2.001999999999996,-0.1668000000000002,0,1
