esn,flight_phase,aircraft_type,eng_family,eng_type,eng_install_date,cycles,delta_egt,fuel_flw,oil_temp,egt_divergence_,ps3_divergence,oil_pres,oil_pres_divergence,core_spd,core_spd_divergence,pt2_(fan_inlet_tot_pres),egt_probe_average,computed_air_spd,zps3,eng_number,flight_datetime_c,date,time,flight_cycle,RCL,is_engine_active,expected_max_cycle,egt_probe_average_norm,fuel_flw_norm,core_spd_norm,oil_temp_norm,oil_pres_norm,pt2_(fan_inlet_tot_pres)_norm,engtype_LEAP-1A26,engtype_LEAP-1A26E1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5540.0,,5671.0,76.6,4.8,-5.23,95.3,0.3,100.87,-0.135,15.11,777.9,91.0,412.15,ESN6,2026-04-10 14:46:09,2026-04-10,14:46:09,4923,77.0,1,5000.0,-93.24750000000006,3983.96,-5.113599999999977,-12.77000000000001,0.1019999999999896,0.3831999999999986,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5541.0,,7724.0,83.4,7.9,-4.485,100.1,-0.65,106.1,-0.16,15.15,904.5875,91.0,503.36,ESN6,2026-04-10 20:16:47,2026-04-10,20:16:47,4924,76.0,1,5000.0,33.43999999999994,6036.96,0.1164000000000129,-5.969999999999999,4.901999999999987,0.4231999999999996,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5542.0,,7055.0,87.6,8.05,-2.735,99.2,1.95,106.33,-0.15,15.04,897.325,90.0,461.89,ESN6,2026-04-11 04:04:23,2026-04-11,04:04:23,4925,75.0,1,5000.0,26.17750000000001,5367.96,0.3464000000000169,-1.7700000000000102,4.001999999999995,0.3131999999999983,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5544.0,,5974.0,75.3,8.5,-1.175,97.8,-0.5,101.67,0.03,15.19,795.6875,92.0,427.7,ESN6,2026-04-11 20:25:39,2026-04-11,20:25:39,4926,74.0,1,5000.0,-75.46000000000004,4286.96,-4.31359999999998,-14.070000000000007,2.6019999999999897,0.4631999999999987,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5547.0,,7705.0,78.0,7.45,-4.085,108.2,-2.25,106.0,-0.14,15.04,903.225,89.0,502.87,ESN6,2026-04-12 20:39:42,2026-04-12,20:39:42,4927,73.0,1,5000.0,32.077499999999986,6017.96,0.0164000000000186,-11.370000000000005,13.001999999999995,0.3131999999999983,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5549.0,,6815.0,81.9,7.0,-3.08,107.0,-0.55,105.16,-0.12,14.7,871.825,88.0,448.45,ESN6,2026-04-13 15:05:12,2026-04-13,15:05:12,4928,72.0,1,5000.0,0.6775000000000091,5127.96,-0.8235999999999848,-7.469999999999999,11.801999999999992,-0.0268000000000014,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5550.0,,5691.0,73.9,6.4,-5.94,97.9,-0.65,101.17,-0.06,15.05,781.6375,89.0,411.27,ESN6,2026-04-13 21:12:37,2026-04-13,21:12:37,4929,71.0,1,5000.0,-89.50999999999999,4003.96,-4.81359999999998,-15.47,2.701999999999998,0.3231999999999999,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5551.0,,5960.0,94.8,6.4,-2.435,93.3,1.0,104.13,-0.1,14.92,844.9125,92.0,410.63,ESN6,2026-04-14 10:13:22,2026-04-14,10:13:22,4930,70.0,1,5000.0,-26.235000000000014,4272.96,-1.853599999999986,5.429999999999993,-1.8980000000000103,0.1931999999999991,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5552.0,,5750.0,79.1,6.6,-2.76,96.8,-0.4,101.98,-0.105,14.58,804.1125,91.0,407.13,ESN6,2026-04-14 15:23:15,2026-04-14,15:23:15,4931,69.0,1,5000.0,-67.03500000000008,4062.96,-4.003599999999977,-10.27000000000001,1.6019999999999897,-0.1468000000000007,0,1
ESN6,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2025-08-25 23:00:00,5553.0,,7785.0,83.8,7.55,-3.38,105.3,-1.3,106.78,-0.155,14.96,921.125,94.0,500.7,ESN6,2026-04-15 08:43:35,2026-04-15,08:43:35,4932,68.0,1,5000.0,49.97749999999997,6097.96,0.7964000000000198,-5.570000000000007,10.10199999999999,0.2332,0,1
