esn,flight_phase,aircraft_type,eng_family,eng_type,eng_install_date,cycles,delta_egt,fuel_flw,oil_temp,egt_divergence_,ps3_divergence,oil_pres,oil_pres_divergence,core_spd,core_spd_divergence,pt2_(fan_inlet_tot_pres),egt_probe_average,computed_air_spd,zps3,eng_number,flight_datetime_c,date,time,flight_cycle,RCL,egt_probe_average_norm,fuel_flw_norm,core_spd_norm,oil_temp_norm,oil_pres_norm,pt2_(fan_inlet_tot_pres)_norm,engtype_LEAP-1A26,engtype_LEAP-1A26E1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,410.0,,3307.0,89.3,-14.25,1.425,91.6,1.2,106.65,0.11,14.98,897.575,85.0,447.86,ESN17,2024-06-09 16:51:45,2024-06-09,16:51:45,1946,2203,77.16025000000013,1247.5,3.2524000000000086,7.277999999999992,2.602000000000004,0.0109999999999992,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,411.0,,2890.0,81.8,-10.65,2.07,88.5,0.85,103.53,0.09,15.15,827.3125,88.0,406.89,ESN17,2024-06-09 21:42:11,2024-06-09,21:42:11,1947,2202,6.897750000000087,830.5,0.132400000000004,-0.2220000000000084,-0.4979999999999904,0.1809999999999991,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,412.0,,1990.0,88.6,-12.3,2.145,87.5,-1.0,104.13,0.115,14.77,844.7625,90.0,407.27,ESN17,2024-06-10 07:17:30,2024-06-10,07:17:30,1948,2201,24.347750000000133,-69.5,0.7323999999999984,6.577999999999989,-1.4979999999999905,-0.1990000000000016,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,414.0,,1635.0,97.1,-13.05,2.275,88.9,0.25,105.41,0.13,14.59,862.8875,88.0,403.22,ESN17,2024-06-10 12:25:27,2024-06-10,12:25:27,1950,2199,42.47275000000013,-424.5,2.0123999999999995,15.077999999999989,-0.0979999999999847,-0.3790000000000013,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,415.0,,1577.0,93.9,-12.35,2.64,85.8,-1.8,104.48,0.11,14.7,850.0375,87.0,420.19,ESN17,2024-06-10 16:05:36,2024-06-10,16:05:36,1951,2198,29.62275000000011,-482.5,1.082400000000007,11.878,-3.1979999999999933,-0.2690000000000019,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,416.0,,1826.0,87.8,-12.8,1.855,94.3,2.6,104.89,0.09,14.75,857.4875,91.0,418.67,ESN17,2024-06-10 21:19:35,2024-06-10,21:19:35,1952,2197,37.07275000000004,-233.5,1.4924000000000035,5.777999999999992,5.302000000000007,-0.2190000000000012,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,417.0,,3385.0,89.3,-14.05,2.81,92.6,1.4,107.71,0.145,15.02,917.4,90.0,456.32,ESN17,2024-06-11 01:30:59,2024-06-11,01:30:59,1953,2196,96.98525000000006,1325.5,4.312399999999997,7.277999999999992,3.602000000000004,0.0509999999999983,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,418.0,,1671.0,89.1,-13.3,2.945,89.5,-0.9,105.0,0.12,14.66,858.4125,87.0,411.91,ESN17,2024-06-11 08:25:19,2024-06-11,08:25:19,1954,2195,37.99775000000011,-388.5,1.602400000000003,7.077999999999989,0.5020000000000095,-0.309000000000001,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,419.0,,3195.0,80.1,-13.45,3.115,93.1,0.6,105.0,0.12,14.59,878.8625,93.0,469.9,ESN17,2024-06-11 14:09:19,2024-06-11,14:09:19,1955,2194,58.44775000000004,1135.5,1.602400000000003,-1.922000000000012,4.102000000000004,-0.3790000000000013,0,1
ESN17,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26E1,2023-01-16 23:00:00,421.0,,1756.0,89.9,-12.1,2.295,90.0,2.4,104.19,0.095,14.99,838.4125,88.0,404.32,ESN17,2024-06-12 09:30:05,2024-06-12,09:30:05,1957,2192,17.99775000000011,-303.5,0.7924000000000007,7.878,1.0020000000000095,0.020999999999999,0,1
