esn,flight_phase,aircraft_type,eng_family,eng_type,eng_install_date,cycles,delta_egt,fuel_flw,oil_temp,egt_divergence_,ps3_divergence,oil_pres,oil_pres_divergence,core_spd,core_spd_divergence,pt2_(fan_inlet_tot_pres),egt_probe_average,computed_air_spd,zps3,eng_number,flight_datetime_c,date,time,flight_cycle,RCL,is_engine_active,expected_max_cycle,egt_probe_average_norm,fuel_flw_norm,core_spd_norm,oil_temp_norm,oil_pres_norm,pt2_(fan_inlet_tot_pres)_norm,engtype_LEAP-1A26,engtype_LEAP-1A26E1
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4652.0,,7421.0,84.9,6.5,-1.16,93.0,2.35,105.76,0.0,15.15,884.2125,93.0,490.07,ESN20,2026-04-18 15:28:41,2026-04-18,15:28:41,4942,58.0,1,5000.0,81.46050000000002,5133.46,2.7905999999999977,6.170000000000002,2.0400000000000205,0.1294000000000004,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4653.0,,5976.0,85.3,6.3,-0.945,94.1,2.35,104.49,0.005,14.79,846.05,96.0,409.38,ESN20,2026-04-18 21:39:18,2026-04-18,21:39:18,4943,57.0,1,5000.0,43.298,3688.46,1.5205999999999875,6.569999999999993,3.140000000000015,-0.2306000000000008,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4654.0,,6448.0,79.9,6.85,-1.36,103.9,2.4,104.78,-0.035,14.85,857.6,91.0,430.72,ESN20,2026-04-19 05:37:11,2026-04-19,05:37:11,4944,56.0,1,5000.0,54.84800000000007,4160.46,1.8105999999999935,1.1700000000000017,12.940000000000026,-0.1706000000000003,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4655.0,,6742.0,84.5,7.75,-1.185,95.6,2.75,104.48,-0.005,14.93,856.3875,89.0,446.11,ESN20,2026-04-19 10:48:29,2026-04-19,10:48:29,4945,55.0,1,5000.0,53.63550000000009,4454.46,1.5105999999999966,5.769999999999996,4.640000000000015,-0.0906000000000002,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4656.0,,6129.0,91.4,6.7,-0.615,91.7,2.05,104.66,-0.035,14.73,851.5625,91.0,412.14,ESN20,2026-04-19 15:47:47,2026-04-19,15:47:47,4946,54.0,1,5000.0,48.81050000000005,3841.46,1.6905999999999892,12.670000000000002,0.7400000000000233,-0.2905999999999995,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4657.0,,6205.0,81.1,6.1,-0.87,92.9,1.9,103.59,-0.03,15.06,829.6625,88.0,429.25,ESN20,2026-04-19 20:22:04,2026-04-19,20:22:04,4947,53.0,1,5000.0,26.91050000000007,3917.46,0.620599999999996,2.3699999999999903,1.940000000000026,0.0394000000000005,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4658.0,,6845.0,83.3,7.45,-1.6,95.2,2.65,105.72,-0.035,15.08,881.125,92.0,454.53,ESN20,2026-04-20 00:14:31,2026-04-20,00:14:31,4948,52.0,1,5000.0,78.37300000000005,4557.46,2.7505999999999915,4.569999999999993,4.240000000000023,0.0594000000000001,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4659.0,,7203.0,70.6,7.05,-1.315,98.5,1.55,103.42,-0.005,14.88,846.6125,94.0,482.44,ESN20,2026-04-20 06:21:25,2026-04-20,06:21:25,4949,51.0,1,5000.0,43.8605,4915.46,0.4505999999999943,-8.13000000000001,7.54000000000002,-0.1405999999999991,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4660.0,,7261.0,77.0,8.85,-0.885,109.8,4.65,106.24,-0.05,14.81,898.5375,87.0,468.95,ESN20,2026-04-20 19:57:31,2026-04-20,19:57:31,4950,50.0,1,5000.0,95.78550000000008,4973.46,3.2705999999999875,-1.730000000000004,18.840000000000018,-0.2105999999999994,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4661.0,,6362.0,66.0,7.25,-1.565,99.3,1.45,101.82,-0.05,15.2,799.9625,88.0,448.38,ESN20,2026-04-21 02:46:13,2026-04-21,02:46:13,4951,49.0,1,5000.0,-2.7894999999999754,4074.46,-1.1494000000000142,-12.730000000000004,8.340000000000018,0.1793999999999993,1,0
ESN20,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2021-12-17 00:00:00,4662.0,,6121.0,74.4,6.85,-0.215,108.0,4.55,103.73,-0.08,14.76,838.9875,88.0,412.0,ESN20,2026-04-23 00:19:10,2026-04-23,00:19:10,4952,48.0,1,5000.0,36.2355,3833.46,0.7605999999999966,-4.329999999999998,17.04000000000002,-0.2606000000000001,1,0
