esn,flight_phase,aircraft_type,eng_family,eng_type,eng_install_date,cycles,delta_egt,fuel_flw,oil_temp,egt_divergence_,ps3_divergence,oil_pres,oil_pres_divergence,core_spd,core_spd_divergence,pt2_(fan_inlet_tot_pres),egt_probe_average,computed_air_spd,zps3,eng_number,flight_datetime_c,date,time,flight_cycle,RCL,egt_probe_average_norm,fuel_flw_norm,core_spd_norm,oil_temp_norm,oil_pres_norm,pt2_(fan_inlet_tot_pres)_norm,engtype_LEAP-1A26,engtype_LEAP-1A26E1
ESN1,CRUISE,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2578.0,13.8229,2085.0,82.2,2.5,-1.31,89.0,2.1,98.28,-0.025,4.56,696.9625,252.0,157.59,ESN1,2026-04-26 08:16:44,2026-04-26,08:16:44,2588,14,-28.963109756097538,-217.82926829268308,-1.848536585365835,-6.929268292682934,12.163414634146337,-0.5634146341463415,1,0
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2578.0,,6522.0,85.9,1.15,-5.425,94.3,0.25,104.39,-0.175,15.15,849.7375,88.0,441.94,ESN1,2026-04-26 10:46:07,2026-04-26,10:46:07,2589,13,-13.816000000000145,3585.98,-1.1794000000000011,-0.3579999999999899,5.433999999999969,0.1481999999999992,1,0
ESN1,CRUISE,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2579.0,21.0621,2193.0,87.0,2.8,-1.33,86.8,2.05,99.18,-0.02,4.37,723.6125,248.0,161.99,ESN1,2026-04-26 12:00:29,2026-04-26,12:00:29,2589,13,-2.3131097560975604,-109.82926829268308,-0.9485365853658294,-2.129268292682937,9.963414634146332,-0.753414634146341,1,0
ESN1,CRUISE,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2579.0,,632.0,89.6,4.1,-0.295,56.9,1.15,77.34,-0.01,11.31,537.9,231.0,51.85,ESN1,2026-04-26 13:59:06,2026-04-26,13:59:06,2589,13,-188.02560975609757,-1670.829268292683,-22.788536585365836,0.4707317073170571,-19.936585365853663,6.186585365853659,1,0
ESN1,CRUISE,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2580.0,14.261,2185.0,102.3,3.25,-1.365,83.5,2.35,102.29,-0.015,4.49,771.725,247.0,157.84,ESN1,2026-04-26 16:27:15,2026-04-26,16:27:15,2589,13,45.79939024390251,-117.82926829268308,2.16146341463417,13.17073170731706,6.663414634146335,-0.6334146341463409,1,0
ESN1,CRUISE,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2580.0,13.4954,2011.0,84.3,2.7,-1.335,87.8,2.25,98.43,-0.02,4.52,695.5875,248.0,152.17,ESN1,2026-04-26 18:32:26,2026-04-26,18:32:26,2589,13,-30.338109756097538,-291.8292682926831,-1.6985365853658294,-4.82926829268294,10.963414634146332,-0.6034146341463416,1,0
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2580.0,,6650.0,80.8,1.75,-3.525,96.4,1.05,104.01,-0.095,15.2,842.825,93.0,450.69,ESN1,2026-04-26 20:18:47,2026-04-26,20:18:47,2590,12,-20.728500000000054,3713.98,-1.5593999999999966,-5.457999999999998,7.533999999999978,0.1981999999999981,1,0
ESN1,CRUISE,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2581.0,15.997,2172.0,84.8,2.65,-1.4,87.7,1.75,98.63,-0.03,4.72,702.625,252.0,163.91,ESN1,2026-04-26 21:23:34,2026-04-26,21:23:34,2590,12,-23.300609756097515,-130.82926829268308,-1.4985365853658408,-4.32926829268294,10.863414634146338,-0.4034146341463414,1,0
ESN1,TAKEOFF,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2581.0,,6691.0,88.0,3.05,-3.845,95.9,1.95,105.67,-0.105,15.06,874.0625,91.0,446.94,ESN1,2026-04-27 00:12:06,2026-04-27,00:12:06,2591,11,10.5089999999999,3754.98,0.1006,1.7420000000000044,7.033999999999978,0.0581999999999993,1,0
ESN1,CRUISE,A320neo,LEAP-1A,LEAP-1A26,2023-09-01 23:00:00,2582.0,17.2754,2581.0,96.3,3.5,-1.62,86.9,1.75,102.32,-0.02,5.42,765.7125,271.0,188.19,ESN1,2026-04-27 00:35:15,2026-04-27,00:35:15,2591,11,39.78689024390246,278.1707317073169,2.191463414634157,7.17073170731706,10.06341463414634,0.2965853658536588,1,0
